PUBLIC_NAM,Rec_count,Education_count,Facility_count,Maintenance_count,Aesthetic_count,Collisions_2011_2014,Incidents_2011_200m,Incidents_norm,sqm,violent_crimes_total,violent_crimes_sqm,narcotic_crimes,narcotic_crimes_sq_m,water_perc,tree_perc,grass_perc,built_perc,t_safety,t_recreation,t_amenities,t_landscape,t_accessibility,t_condition,t_size,t_aesthetic
Narcissa S Cruz Recreation Center,6,0,0,0,0,28,86,363.7263072,19464.98677,177,0.00909325,87,0.004469564,0.003544446,0.190517539,0.39632673,0.409611285,0.076084046,0.534824395,0.332380426,-0.224617669,-0.119119565,-0.119643721,-0.143663426,-0.215001621
Holmesburg Recreation Center,4,0,0,0,0,41,66,263.9867937,18952.02052,101,0.005329247,49,0.002585476,0,0.095272036,0.634428057,0.270299907,0.748809337,0.218783399,0.602304625,0.160538525,0.605032087,0.351116484,-0.237792366,-0.482044122
Lardners Point Park,0,0,1,0,0,4,3,11.68313918,20093.94603,2,9.95E-05,0,0,0.041953847,0.514410429,0.242375868,0.201259857,-0.009203004,0.276418848,0.06932748,0.37992876,0.093184006,0.066014453,-0.138410675,0.282219983
Frederick Cione Playground,6,0,0,0,0,69,162,603.3614673,19231.6475,107,0.005563746,31,0.001611926,0,0.030344838,0.516416975,0.453238188,0.294957343,0.254005898,0.319740309,-0.270812134,0.022353121,0.273364724,-0.058253209,-0.379757211
Pleasant Playground,7,0,0,0,0,27,48,198.3847725,19247.5211,121,0.006286524,48,0.002493828,0.025621554,0.210622922,0.281567165,0.482188359,0.041593364,0.456475452,1.016442971,-0.275274338,-0.0136459,0.451453132,-0.097748195,-0.335580639
Athletic Recreation Center,6,0,0,0,0,15,100,425.3244485,18993.70714,221,0.011635433,149,0.007844703,0,0.402109532,0.305316868,0.2925736,0.111391618,0.570748067,0.343707217,-0.177722673,-0.183824093,0.077483764,-0.402240984,-0.244618141
Happy Hollow Recreation Center,5,0,0,0,0,22,103,419.0277409,18568.28018,293,0.015779598,249,0.013409966,0,0.360309205,0.287145298,0.352545497,-0.112542712,-0.648656484,-0.116891754,-0.41015873,-0.360567402,-0.211439203,-0.240437214,-0.33821177
CCA Baldi School Playground,5,0,0,0,0,15,8,32.78331854,18711.18338,7,0.000374108,12,0.000641328,0,0.254437563,0.594676035,0.150886402,1.227005333,-0.013829476,0.051994704,-0.103804598,-0.237853921,-0.486050753,-0.133045866,-0.459408579
Reverend M Monkiewicz Recreation Center,6,0,0,0,0,174,54,160.6871644,38675.80431,74,0.001913341,25,0.000646399,0,0.05887937,0.525785808,0.415334822,0.585379669,0.368225803,0.538112845,-0.191818695,0.240594023,-0.179962912,-0.186525144,-0.533373525
Ernest L Tustin Recreation Center,5,0,0,0,0,37,52,217.6343106,17497.84572,151,0.008629634,182,0.01040128,0,0.20676659,0.30429068,0.48894273,0.428583208,0.104362053,0.678352459,-0.099985134,-0.185962351,0.214133476,-0.099139721,-0.297855128
Wharton Square,3,0,0,0,0,27,115,499.7561373,17377.56167,327,0.01881737,285,0.01640046,0,0.563678897,0.194356891,0.241964212,0.260865636,0.242485038,0.566337497,-0.118695643,-0.264368777,0.242254903,-0.141719133,-0.18998929
Mifflin Square,2,0,0,1,0,38,180,787.3387093,16883.07913,356,0.021086201,463,0.027423907,0.000640092,0.422530415,0.303756437,0.273073057,0.6146858,0.062588455,0.202324477,-0.089117808,-0.064361838,0.350617992,-0.056664944,-0.18648838
Belfield Recreation Center,5,0,0,0,0,37,174,663.4674133,16247.04636,274,0.016864604,200,0.01230993,0,0.090765295,0.477966318,0.431268386,0.377921413,0.632011602,0.855578665,-0.27864123,-0.002346362,0.678031737,-0.117825645,-0.444489448
Overington Park,1,0,0,1,1,19,167,730.5977822,16689.84731,350,0.020970833,229,0.013720916,0,0.500093388,0.398599599,0.101307013,0.018375448,0.045187684,0.16908175,0.237034236,-0.047797089,0.651684925,-0.051037505,0.057878757
